"id","name","type1_id","type2_id","stats_id","can_evolve","front_sprite","shiny_front_sprite","ability","ability_desc","hidden_ability","hidden_ability_desc","generation","weight"
25,"pikachu",5,0,25,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/25.png","static","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed.

Pokémon that are immune to electric-type moves can still be paralyzed by this ability.

Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an electric Pokémon, if applicable.","lightning-rod","All other Pokémon's single-target electric-type moves are redirected to this Pokémon if it is an eligible target.  Other Pokémon's Electric moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.

If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability.

If the Pokémon is a ground-type and thus immune to Electric moves, its immunity prevents the Special Attack boost.","i",60
26,"raichu",5,0,26,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/26.png","static","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed.

Pokémon that are immune to electric-type moves can still be paralyzed by this ability.

Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an electric Pokémon, if applicable.","lightning-rod","All other Pokémon's single-target electric-type moves are redirected to this Pokémon if it is an eligible target.  Other Pokémon's Electric moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.

If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability.

If the Pokémon is a ground-type and thus immune to Electric moves, its immunity prevents the Special Attack boost.","i",300
27,"sandshrew",9,0,27,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/27.png","sand-veil","During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type.

The evasion bonus does not count as a stat modifier.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.","sand-rush","This Pokémon's Speed is doubled during a sandstorm, and it does not take sandstorm damage, regardless of type.","i",120
28,"sandslash",9,0,28,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/28.png","sand-veil","During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type.

The evasion bonus does not count as a stat modifier.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.","sand-rush","This Pokémon's Speed is doubled during a sandstorm, and it does not take sandstorm damage, regardless of type.","i",295
29,"nidoran-f",8,0,29,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/29.png","rivalry","This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender.

If either Pokémon is genderless, damage is unaffected.","hustle","This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy.

Special moves are unaffected.  Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","i",70
30,"nidorina",8,0,30,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/30.png","rivalry","This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender.

If either Pokémon is genderless, damage is unaffected.","hustle","This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy.

Special moves are unaffected.  Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","i",200
31,"nidoqueen",8,9,31,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/31.png","rivalry","This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender.

If either Pokémon is genderless, damage is unaffected.","sheer-force","This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.

Moves that lower the user's stats are unaffected.","i",600
32,"nidoran-m",8,0,32,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/32.png","rivalry","This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender.

If either Pokémon is genderless, damage is unaffected.","hustle","This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy.

Special moves are unaffected.  Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","i",90
33,"nidorino",8,0,33,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/33.png","rivalry","This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender.

If either Pokémon is genderless, damage is unaffected.","hustle","This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy.

Special moves are unaffected.  Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","i",195
34,"nidoking",8,9,34,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/34.png","rivalry","This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender.

If either Pokémon is genderless, damage is unaffected.","sheer-force","This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.

Moves that lower the user's stats are unaffected.","i",620
35,"clefairy",18,0,35,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/35.png","magic-guard","This Pokémon is immune to damage not directly caused by a move.

For example, this Pokémon takes no damage from from weather, recoil, status ailments, or spikes, but it still suffers from the Attack cut when burned, and a life orb will still power up this Pokémon's moves without damaging it.  Anything that directly depends on such damage will also not happen; for example, leech seed will neither hurt this Pokémon nor heal the opponent, and Pokémon with a jaboca berry or rowap berry will not consume the berry when hit by this Pokémon.

The following are unaffected: struggle, pain split (whether used by or against this Pokémon), belly drum, substitute, curse, moves that knock the user out, and damage from confusion.

This Pokémon will neither lose nor regain HP if it drains HP from a Pokémon with liquid ooze.

If this Pokémon is badly poisoned, the poison counter is still increased each turn; if the Pokémon loses this ability, it will begin taking as much damage as it would be if it had been taking increasing damage each turn.","friend-guard","All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle.

This effect stacks if multiple allied Pokémon have it.","i",75
36,"clefable",18,0,36,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/36.png","magic-guard","This Pokémon is immune to damage not directly caused by a move.

For example, this Pokémon takes no damage from from weather, recoil, status ailments, or spikes, but it still suffers from the Attack cut when burned, and a life orb will still power up this Pokémon's moves without damaging it.  Anything that directly depends on such damage will also not happen; for example, leech seed will neither hurt this Pokémon nor heal the opponent, and Pokémon with a jaboca berry or rowap berry will not consume the berry when hit by this Pokémon.

The following are unaffected: struggle, pain split (whether used by or against this Pokémon), belly drum, substitute, curse, moves that knock the user out, and damage from confusion.

This Pokémon will neither lose nor regain HP if it drains HP from a Pokémon with liquid ooze.

If this Pokémon is badly poisoned, the poison counter is still increased each turn; if the Pokémon loses this ability, it will begin taking as much damage as it would be if it had been taking increasing damage each turn.","unaware","This Pokémon ignores other Pokémon's stat modifiers for the purposes of damage and accuracy calculation.

Effectively, this affects modifiers of every stat except Speed.

The power of punishment and stored power is calculated as usual.  When this Pokémon hurts itself in confusion, its stat modifiers affect damage as usual.","i",400
37,"vulpix",2,0,37,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/37.png","flash-fire","This Pokémon is immune to fire-type moves.  Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle.

This ability has no effect while the Pokémon is frozen.  The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled.  Fire moves will ignore this Pokémon's substitute.  This ability takes effect even on non-damaging moves, i.e. will o wisp.","drought","The weather changes to strong sunlight when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.","i",99
38,"ninetales",2,0,38,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/38.png","flash-fire","This Pokémon is immune to fire-type moves.  Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle.

This ability has no effect while the Pokémon is frozen.  The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled.  Fire moves will ignore this Pokémon's substitute.  This ability takes effect even on non-damaging moves, i.e. will o wisp.","drought","The weather changes to strong sunlight when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.","i",199
39,"jigglypuff",1,18,39,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/39.png","competitive","Raises Special Attack by two stages upon having any stat lowered.","friend-guard","All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle.

This effect stacks if multiple allied Pokémon have it.","i",55
40,"wigglytuff",1,18,40,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/40.png","competitive","Raises Special Attack by two stages upon having any stat lowered.","frisk","When this Pokémon enters battle, it reveals an opposing Pokémon's held item to all participating trainers.

In a double battle, if one opponent has an item, this Pokémon will Frisk that Pokémon; if both have an item, it will Frisk one at random.","i",120
41,"zubat",8,10,41,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/41.png","inner-focus","This Pokémon cannot flinch.","infiltrator","This Pokémon's moves ignore light screen, reflect, and safeguard.","i",75
42,"golbat",8,10,42,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/42.png","inner-focus","This Pokémon cannot flinch.","infiltrator","This Pokémon's moves ignore light screen, reflect, and safeguard.","i",550
43,"oddish",4,8,43,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/43.png","chlorophyll","This Pokémon's Speed is doubled during strong sunlight.

This bonus does not count as a stat modifier.","run-away","This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.","i",54
44,"gloom",4,8,44,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/44.png","chlorophyll","This Pokémon's Speed is doubled during strong sunlight.

This bonus does not count as a stat modifier.","stench","This Pokémon's damaging moves have a 10% chance to make the target flinch with each hit if they do not already cause flinching as a secondary effect.

This ability does not stack with a held item.

Overworld: The wild encounter rate is halved while this Pokémon is first in the party.","i",86
45,"vileplume",4,8,45,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/45.png","chlorophyll","This Pokémon's Speed is doubled during strong sunlight.

This bonus does not count as a stat modifier.","effect-spore","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed, poisoned, or put to sleep, chosen at random.

Nothing is done to compensate if the move's user is immune to one of these ailments; there is simply a lower chance that the move's user will be affected.","i",186
46,"paras",12,4,46,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/46.png","dry-skin","This Pokémon takes 1/8 of its maximum HP in damage after each turn during strong sunlight, but it heals for 1/8 of its HP each turn during rain.  This Pokémon takes 1.25× as much damage from fire-type moves, but whenever a water move hits it, it heals for 1/4 its maximum HP instead.","damp","While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.","i",54
47,"parasect",12,4,47,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/47.png","dry-skin","This Pokémon takes 1/8 of its maximum HP in damage after each turn during strong sunlight, but it heals for 1/8 of its HP each turn during rain.  This Pokémon takes 1.25× as much damage from fire-type moves, but whenever a water move hits it, it heals for 1/4 its maximum HP instead.","damp","While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.","i",295
48,"venonat",12,8,48,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/48.png","tinted-lens","This Pokémon deals twice as much damage with moves that are not very effective against the target.","run-away","This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.","i",300
49,"venomoth",12,8,49,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/49.png","tinted-lens","This Pokémon deals twice as much damage with moves that are not very effective against the target.","wonder-skin","Non-damaging moves have exactly 50% base accuracy against this Pokémon.","i",125
50,"diglett",9,0,50,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/50.png","arena-trap","While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.  flying-type Pokémon and Pokémon in the air, e.g. due to levitate or magnet rise, are unaffected.

Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.","sand-force","During a sandstorm, this Pokémon's rock-, ground-, and steel-type moves have 1.3× their base power.  This Pokémon does not take sandstorm damage, regardless of type.","i",8
51,"dugtrio",9,0,51,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/51.png","arena-trap","While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.  flying-type Pokémon and Pokémon in the air, e.g. due to levitate or magnet rise, are unaffected.

Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.","sand-force","During a sandstorm, this Pokémon's rock-, ground-, and steel-type moves have 1.3× their base power.  This Pokémon does not take sandstorm damage, regardless of type.","i",333
